0.904837;0.860552;0.732029;0.53185;0.27961;-0.0;-0.27961;-0.53185;-0.732029;-0.860552;-0.904837;
0.860552;0.151627;0.689646;0.506497;0.081677;-0.338133;-0.603774;-0.663439;-0.592646;-0.671601;-0.860552;
0.732029;0.10639;0.496872;0.269717;-0.155954;-0.53576;-0.714981;-0.647225;-0.432003;-0.398349;-0.732029;
0.53185;0.08372;0.386522;0.180708;-0.186444;-0.504921;-0.639909;-0.551555;-0.326924;-0.245627;-0.53185;
0.27961;0.061715;0.273548;0.120801;-0.147136;-0.377368;-0.470958;-0.397569;-0.216131;-0.111718;-0.27961;
-0.0;0.035898;0.142657;0.060844;-0.080454;-0.200976;-0.248045;-0.203579;-0.090797;0.022343;0.0;
-0.27961;0.006568;-0.002198;-0.005069;-0.005897;-0.004911;-0.000851;0.010339;0.043424;0.154217;0.27961;
-0.53185;-0.025635;-0.155699;-0.08226;0.056267;0.179735;0.238564;0.222157;0.18001;0.281779;0.53185;
-0.732029;-0.064189;-0.329168;-0.198191;0.061375;0.299498;0.423385;0.407903;0.325264;0.424615;0.732029;
-0.860552;-0.129441;-0.601479;-0.468893;-0.1314;0.213923;0.450473;0.53762;0.53653;0.68541;0.860552;
-0.904837;-0.860552;-0.732029;-0.53185;-0.27961;0.0;0.27961;0.53185;0.732029;0.860552;0.904837;
