0.740818;0.70456;0.599335;0.435442;0.228925;-0.0;-0.228926;-0.435442;-0.599335;-0.70456;-0.740818;
0.70456;0.13961;0.626105;0.70098;0.575624;0.334091;0.033167;-0.283392;-0.589964;-0.906321;-0.70456;
0.599335;0.062491;0.308989;0.538282;0.571546;0.414715;0.143303;-0.167541;-0.46992;-0.769685;-0.599335;
0.435442;0.027292;0.152525;0.330544;0.420461;0.305297;0.05058;-0.236392;-0.477633;-0.660838;-0.435442;
0.228925;0.014678;0.081501;0.199565;0.281465;0.174878;-0.060809;-0.307837;-0.473731;-0.523146;-0.228925;
-0.0;0.012365;0.049136;0.125276;0.185619;0.090924;-0.107601;-0.301512;-0.397883;-0.333909;0.0;
-0.228926;0.013009;0.028529;0.073092;0.112235;0.042225;-0.098696;-0.226019;-0.257579;-0.104664;0.228926;
-0.435442;0.011041;-0.000193;0.01503;0.036415;0.004283;-0.060818;-0.108042;-0.075029;0.144575;0.435442;
-0.599335;-0.003005;-0.072598;-0.08875;-0.073937;-0.050348;-0.019623;0.030585;0.135521;0.402806;0.599335;
-0.70456;-0.057474;-0.299702;-0.346121;-0.294048;-0.168047;0.001415;0.189154;0.396377;0.699347;0.70456;
-0.740818;-0.70456;-0.599335;-0.435442;-0.228925;0.0;0.228926;0.435442;0.599335;0.70456;0.740818;
